winner,loser,weight
Clemson,Louisiana Tech,28.0
Coastal Carolina,Buffalo,12.0
Duke,North Carolina A&T,29.0
East Carolina,Campbell,39.0
Eastern Michigan,Arizona State,9.0
Florida,South Florida,3.0
Georgia,South Carolina,41.0
Indiana,Western Kentucky,3.0
Iowa,Nevada,27.0
Iowa State,Ohio,33.0
Kansas,Houston,18.0
Kent State,Long Island,53.0
Kentucky,Youngstown State,31.0
Louisiana State,Mississippi State,15.0
Maryland,Southern Methodist,7.0
Massachusetts,Stony Brook,17.0
Memphis,Arkansas State,12.0
Michigan,Connecticut,59.0
Middle Tennessee State,Tennessee State,43.0
Minnesota,Colorado,42.0
Mississippi,Georgia Tech,42.0
Missouri,Abilene Christian,17.0
Nevada-Las Vegas,North Texas,31.0
New Mexico,Texas-El Paso,17.0
North Carolina State,Texas Tech,13.0
Notre Dame,California,7.0
Ohio State,Toledo,56.0
Oklahoma,Nebraska,35.0
Oklahoma State,Arkansas-Pine Bluff,56.0
Oregon,Brigham Young,21.0
Oregon State,Montana State,40.0
Penn State,Auburn,29.0
Pittsburgh,Western Michigan,21.0
Rice,Louisiana,12.0
Rutgers,Temple,2.0
Southern California,Fresno State,28.0
Southern Illinois,Northwestern,7.0
Southern Mississippi,Northwestern State,54.0
Syracuse,Purdue,3.0
Tennessee,Akron,57.0
Texas,Texas-San Antonio,21.0
Texas A&M,Miami (FL),8.0
Tulane,Kansas State,7.0
Tulsa,Jacksonville State,37.0
UCLA,South Alabama,1.0
Utah,San Diego State,28.0
Vanderbilt,Northern Illinois,10.0
Virginia,Old Dominion,2.0
Virginia Tech,Wofford,20.0
Wake Forest,Liberty,1.0
Washington,Michigan State,11.0
Washington State,Colorado State,31.0
West Virginia,Towson,58.0
Wisconsin,New Mexico State,59.0
Hawaii,Duquesne,10.0
Coastal Carolina,Georgia State,17.0
Illinois,Chattanooga,31.0
West Virginia,Virginia Tech,23.0
Air Force,Nevada,28.0
Syracuse,Virginia,2.0
Texas-El Paso,Boise State,17.0
Alabama,Vanderbilt,52.0
Auburn,Missouri,3.0
Baylor,Iowa State,7.0
Brigham Young,Wyoming,14.0
Buffalo,Eastern Michigan,19.0
California,Arizona,18.0
Central Florida,Georgia Tech,17.0
Cincinnati,Indiana,21.0
Clemson,Wake Forest,6.0
Florida State,Boston College,30.0
Georgia,Kent State,17.0
Georgia Southern,Ball State,11.0
Houston,Rice,7.0
Iowa,Rutgers,17.0
James Madison,Appalachian State,4.0
Kansas,Duke,8.0
Kansas State,Oklahoma,7.0
Kentucky,Northern Illinois,8.0
Liberty,Akron,9.0
Louisiana State,New Mexico,38.0
Louisiana-Monroe,Louisiana,4.0
Louisville,South Florida,38.0
Memphis,North Texas,10.0
Miami (OH),Northwestern,3.0
Michigan,Maryland,7.0
Middle Tennessee State,Miami (FL),14.0
Minnesota,Michigan State,27.0
Mississippi,Tulsa,8.0
Mississippi State,Bowling Green,31.0
Navy,East Carolina,3.0
Nevada-Las Vegas,Utah State,10.0
New Mexico State,Hawaii,19.0
North Carolina State,Connecticut,31.0
Notre Dame,North Carolina,13.0
Ohio,Fordham,7.0
Ohio State,Wisconsin,31.0
Old Dominion,Arkansas State,3.0
Oregon,Washington State,3.0
Penn State,Central Michigan,19.0
Pittsburgh,Rhode Island,21.0
Purdue,Florida Atlantic,2.0
Sacramento State,Colorado State,31.0
San Diego State,Toledo,3.0
San Jose State,Western Michigan,28.0
South Alabama,Louisiana Tech,24.0
South Carolina,Charlotte,36.0
Southern California,Oregon State,3.0
Southern Mississippi,Tulane,3.0
Temple,Massachusetts,28.0
Tennessee,Florida,5.0
Texas A&M,Arkansas,2.0
Texas Christian,Southern Methodist,8.0
Texas State,Houston Baptist,34.0
Texas Tech,Texas,3.0
Texas-San Antonio,Texas Southern,28.0
Troy,Marshall,9.0
UCLA,Colorado,28.0
Utah,Arizona State,21.0
Washington,Stanford,18.0
Western Kentucky,Florida International,73.0
Brigham Young,Utah State,12.0
South Carolina,South Carolina State,40.0
Boise State,San Diego State,22.0
Nevada-Las Vegas,New Mexico,11.0
Texas-San Antonio,Middle Tennessee State,15.0
Tulane,Houston,3.0
UCLA,Washington,8.0
Air Force,Navy,3.0
Alabama,Arkansas,23.0
Appalachian State,Citadel,49.0
Arizona,Colorado,23.0
Arkansas State,Louisiana-Monroe,17.0
Ball State,Northern Illinois,6.0
Boston College,Louisville,1.0
